1,3PL,3rd　Party　Logistics
2,ASP,Application　Service　Provider　
3,BABOK,Business　Analysis　Body　Of　Knowledge
4,BPMN,Business　Process　Modeling　Notation 
5,BI,Business　Intelligence
6,BPO,Business　Process　Outsourcing 
7,BSC,Balanced　Score　Card
8,BTO,build　to　order
9,CAD,Computer　Aided　Design
10,CALS,Commerce　At　Light　Speed
11,CE,Concurrent　Engineering
12,CRM,Customer　Relationship　Management
13,CS,Cuｓtomer　Satisfaction
14,CSF,Critical　Success　Factors
15,CSP,Content　Security　Policy
16,DFD,Data　Flow　Diagram
17,DKIM,DomainKeys　Identified　Mail
18,EA,Enterprise　Architecture 
19,EAI,Enterprise　Apprication　Integration
20,EC,Electronic　Commerce
21,EC,Enployee　Satisfaction
22,EDI,Electronic　Data　Interchange
23,EMS,Electronics　Manufacturing　Service
24,EOS,Electronic　Ordering　Syetem
25,ERP,Enterprise　Resouｒce　Planning
26,ESB,Enterprise　Service　Bus
27,EVA,Economic　Value　Added
28,IoT,Internet　of　Things
29,IRR,Internal　Rate　of　Return
30,ITIL,Information　Technology　Infrastructure　Library
31,ＪＩＴ,Just　In　Time
32,KGI,Key　Goal　Indicator
33,KM,Knowledge　Management
34,KPI,Key　Perfomance　Indicator
35,LTV,Life　Time　Value
36,MBO,Management　By　Objectives
37,MRP,Material　Requirements　Planning 
38,NPV,Net　Present　Value
39,PCIDSS,Payment　Card　Indusry　Data　Security　Standard
40,PDCA,Plan　Do　Check　Act 
41,PHR,Personal　Health　Record
42,PMBOK,Project　Management　Body　of　Knowledge
43,QSA,Qualified　Security　Assessors
44,RFC,Request　For　Coｍmennts
45,RFI,Request　For　Information
46,RFID,Radio　Frequency　Identification
47,RFP,Request　For　Proposal
48,ROE,Return　On　Equity
49,ROI,Return　On　Investment
50,SaaS,Software　as　a　Service
51,SCM,Supply　Chain　Management
52,SEO,Search　Engine　Optimization
53,SFA,Sales　Force　Automation
54,SOA,Servic　Oriented　Arcitecture
55,SPA,Speciality　store　retailer　of　Private　label　Apparel
56,SPC,Special　Purpose　Company
57,SQuBOK,Software　Quality　Body　of　Knowledge
58,SWEBOK,SoftWare　Engineering　Body　Of　Knowledge
59,UML,Unified　Modeling　Language
60,XBRL,eXtensible　Business　Reporting　Language
